Date	Registration	Type	Route	Total	PIC	Solo	SIC	Night	Dual Received	Dual Given	Cross Country	Actual Instrument	Simulated Instrument	Night Landings	Day Landings	Sim	Approaches	Person	Remarks	Flying
2010-01-18	PC12	PC-12	EKYT EFMA	2.0	2.0						2.0	2.0			1		1		http://www.vataware.com/flight.cfm?id=4915364	
2010-01-18	PC12	PC-12	EFMA EPGD	2.7	2.7						2.7	2.7			1		1		http://www.vataware.com/flight.cfm?id=4916053	
2010-01-21	PC12	PC-12	EPGD LDSB	4.0	4.0						4.0	4.0			1		1		http://www.vataware.com/flight.cfm?id=4930686	
2010-01-22	PC12	PC-12	LDSB LGKC	3.0	3.0						3.0	3.0			1		1		http://www.vataware.com/flight.cfm?id=4936831	
2010-01-23	PC12	PC-12	LGKC HEAT	3.3	3.3						3.3	3.3			1		1		http://www.vataware.com/flight.cfm?id=4943975	
2010-01-24	PC12	PC-12	HEAT OBBS	4.5	4.5						4.5	4.5			1		1		http://www.vataware.com/flight.cfm?id=4951752	
2010-01-25	PC12	PC-12	OBBS VABB	5.3	5.3						5.3	5.3			1		1		http://www.vataware.com/flight.cfm?id=4958782	
2010-01-26	PC12	PC-12	VABB VRMM	3.9	3.9						3.9	3.9			1		1		http://www.vataware.com/flight.cfm?id=4964117	
2010-01-27	PC12	PC-12	VRMM VCBI	2.2	2.2			1.0				2.2		1			1		http://www.vataware.com/flight.cfm?id=4969395	
##PLANE	CONC	AEROSPATIALE		Concorde	2	X	Type Rating	
##PLANE	A319	AIRBUS INDUSTRIES		A-319	2	X	Type Rating	
##PLANE	A321	AIRBUS INDUSTRIES		A-321	2	X	Type Rating	
##PLANE	A332	AIRBUS INDUSTRIES		A-330-200	2	X	Type Rating	
##PLANE	A333	AIRBUS INDUSTRIES		A-330-300	2	X	Type Rating	
##PLANE	A343	AIRBUS INDUSTRIES		A-340-300	2	X	Type Rating	
##PLANE	A346	AIRBUS INDUSTRIES		A-340-600	2	X	Type Rating	
##PLANE	B190	BEECH AIRCRAFT COMPANY		1900	2	X	Type Rating	
##PLANE	BE20	BEECH AIRCRAFT COMPANY		200	2	X		
##PLANE	BE60	BEECH AIRCRAFT COMPANY		60 Duke	2	X		
##PLANE	BE60	BEECH AIRCRAFT COMPANY		60 Duke	1	X		
##PLANE	B712	BOEING COMPANY		717-200	2	X	Type Rating	
##PLANE	B733	BOEING COMPANY		737-300 	2	X	Type Rating	
##PLANE	B738	BOEING COMPANY		737-800, BBJ2	2	X	Type Rating	
##PLANE	B742	BOEING COMPANY		747-200	2	X	Type Rating	
