Date	AC Type	Plane	Route of Flight	Approaches	day landing	night landing	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
2/19/06	PA-28	N75078	W32 - ESN - W32		2		1.6									1.6		1.6		
3/5/06	PA-28	N75078	W32 - FCI - W32		2		1.6							1.6		1.6		1.6		
3/16/06	PA-28	N75078	W32 - 2W5 - W32		5		0.9									0.9	0.9	0.9		
3/22/06	PA-28	N75078	W32 - LFI - W32		2		2.5							2.5		2.5		2.5		
3/28/06	PA-28	N75078	W32-HEF-N87-W32		3		4.1				0.2			4.1		4.1		4.1		
3/31/06	PA-28	N75078	W32 - PHF - W32		2		2.2							2.2		2.2	2.2	2.2		
5/6/06	PA-28	N75078	W32 - 3W3		1		0.7									0.7		0.7		
5/29/06	PA-28	N75078	W32 - W32		1		1.0									1.0	1.0	1.0		
6/4/06	PA-28	N75078	W32-RMN-EZF-RMN-HEF-EZF-RMN	6	4		2.4					1.8				2.4		2.4		
6/4/06	PA-28	N75078	RMN-W32				0.4									0.4		0.4		
6/23/06	PA-28	N75078	W32 - 2W5 - W32		2		0.6									0.6	0.6	0.6		
7/22/06	C172	N75917	W32 - 2W5 - W32		6		1.0								1.0	1.0		1.0		
7/23/06	PA-28	N75078	W32 - W32		1		1.2									1.2	1.2	1.2		
7/29/06	PA-28	N75078	ILG-EVY-38N-0N4-33N-15N-0N6-D74-GED-N06-W32		11		2.8							2.8		2.8		2.8		
8/9/06	PA-28	N75078	W32 - 2W5 - W32		2		1.6									1.6	1.6	1.6		
8/13/06	PA-28	N75078	W32 - 2W5 - W32		2		0.7									0.7		0.7		
8/16/06	PA-28	N75078	W32 - ORF - W32		2		2.6							2.6		2.6	1.4	2.6		
8/19/06	PA-28	N75078	W32 - W66 - W32		2		1.1									1.1		1.1		
9/4/06	PA-28	N75078	W32 - 76N - W32		2		3.8							3.8		3.8		3.8		
9/9/06	PA-28	N75078	W32 - PHF - W32		2		2.1							2.1		2.1		2.1		
9/24/06	C172SP	N5329L	PHDH - PHDH		1		0.0									0.0		0.0		
10/7/06	PA-28	N75078	W32 - IOB		1		2.1				0.9			2.1		2.1		2.1		
10/7/06	PA-28	N75078	IOB - PGR		1		1.8							1.8		1.8		1.8		
10/7/06	PA-28	N75078	PGR - OUN		1		2.7							2.7		2.7		2.7		
10/20/06	PA-28	N75078	OUN-1K4-HSD-PWA-OUN		4		1.2									1.2	1.2	1.2		
10/22/06	PA-28	N75078	OUN-CHK-RQO-F29-OKC-OUN		5		1.8									1.8	1.8	1.8		
10/29/06	PA-28	N75078	OUN - OUN			11	1.1			1.1						1.1	1.1	1.1		
11/2/06	PA-28	N75078	OUN - F10 - OUN			2	1.7			1.7				1.7		1.7	1.7	1.7		
11/4/06	PA-28	N75078	OUN - 6F1 - OUN		2		2.7							2.7	2.7	2.7		2.7		
11/7/06	PA-28	N75078	OUN - OUN		1		0.8								0.8	0.8		0.8		
11/8/06	PA-28	N75078	OUN - OUN		1		1.0								1.0	1.0		1.0		
11/9/06	PA-28	N75078	OUN - OUN		1		1.0									1.0	1.0	1.0		
11/13/06	PA-28	N75078	OUN - OUN		1		0.8								0.8	0.8		0.8		
11/14/06	PA-28	N75078	OUN - OUN		1		1.0								1.0	1.0		1.0		
11/16/06	PA-28	N75078	OUN - OUN		1		0.9								0.9	0.9		0.9		
11/16/06	PA-28	N75078	OUN - OUN		1		0.8									0.8		0.8		
11/16/06	PA-28	N75078	OUN - 2K4 - OUN			2	2.2			2.2				2.2	2.2	2.2		2.2		
11/18/06	PA-28	N75078	OUN - O44 - OUN		2		1.0									1.0	1.0	1.0		
11/20/06	PA-28	N75078	OUN - OUN		1		0.9								0.9	0.9		0.9		
11/23/06	PA-28	N75078	OUN-ADM-PVJ-3O3-OUN			4	2.0			2.0				2.0		2.0	2.0	2.0		
11/25/06	PA-28	N75078	OUN - OUN		1		0.8									0.8	0.8	0.8		
12/3/06	PA-28	N75078	OUN - ADH - F99 - OUN		3		2.2							2.2		2.2	2.2	2.2		
12/5/06	C172RG	N9724B	OUN - OUN		1		0.8								0.8	0.8		0.8		
12/8/06	C172RG	N9724B	OUN - OUN		9		1.1								1.1	1.1		1.1		
12/9/06	C172RG	N9724B	OUN - OUN		6		0.8								0.8	0.8		0.8		
12/9/06	C172RG	N9724B	OUN - OUN		6		1.1								1.1	1.1		1.1		
12/15/06	PA-28	N75078	OUN - OUN		1		0.9									0.9	0.9	0.9		
12/17/06	PA-28	N75078	OUN - OUN		1		1.0									1.0		1.0		
12/17/06	C172RG	N9724B	OUN - OUN		5		0.7									0.7		0.7		
12/26/06	PA-28	N75078	OUN - O38		1		1.2							1.2		1.2	1.2	1.2		
12/26/06	PA-28	N75078	O38 - O38		1		1.0									1.0		1.0		
12/26/06	PA-28	N75078	O38 - 2F6		1		0.3									0.3	0.3	0.3		
12/26/06	PA-28	N75078	2F6-SUD-CQB-OUN		3		1.1							1.1		1.1	1.1	1.1		
1/1/07	PA-28	N75078	OUN - O38		1		1.2							1.2		1.2	1.2	1.2		
5/26/07	PA-28	N75078	O38 - 3F7 - OUN		3		1.3							1.3		1.3	1.3	1.3		
5/31/07	PA-28	N75078	OUN-SRE-O47-SNL-OUN		6		2.2									2.2	2.2	2.2		
6/22/07	PA-28	N75078	OUN - OUN		5		0.8									0.8	0.8	0.8		
6/24/07	PA-28	N75078	OUN - OKC - OUN	6	2		2.1					1.5				2.1		2.1		
7/7/07	PA-28	N75078	OUN - OUN		1		1.3									1.3		1.3		
7/25/07	PA-28	N75078	OUN - OUN		4		0.5									0.5	0.5	0.5		
8/4/07	PA-28	N75078	OUN - PVJ - OUN		2		1.5									1.5	1.5	1.5		
8/8/07	PA-28	N75078	OUN - OUN		1		0.4									0.4	0.4	0.4		
8/12/07	PA-28	N75078	OUN - OUN		3		0.4									0.4	0.4	0.4		
8/16/07	PA-28	N75078	OUN - ADS		1		1.7				0.2			1.7		1.7	1.7	1.7		
